time, dskOnReal, dskOnFake, epoch
1590657586.8119, 0.635, 0.776, 0
1590657586.8368, 0.63, 0.8183, 0
1590657586.8697, 0.628, 0.8442, 0
1590657586.9037, 0.627, 0.8638, 0
1590657586.9346, 0.615, 0.8536, 0
1590657586.9675, 0.601, 0.8405, 0
1590657586.9974, 0.59, 0.8182, 0
1590657587.0249, 0.58, 0.7747, 0
1590657587.0538, 0.58, 0.7239, 0
1590657587.0797, 0.565, 0.6645, 0
1590657587.1067, 0.593, 0.594, 0
1590657587.1326, 0.582, 0.56, 0
1590657587.1585, 0.591, 0.5092, 0
1590657587.1834, 0.612, 0.472, 0
1590657587.2074, 0.605, 0.4618, 0
1590657587.2323, 0.616, 0.4656, 0
1590657587.2583, 0.567, 0.4781, 0
1590657587.2852, 0.542, 0.4853, 0
1590657587.3092, 0.517, 0.4977, 0
1590657587.3351, 0.486, 0.5061, 0
1590657587.361, 0.472, 0.5129, 0
1590657587.3859, 0.459, 0.5163, 0
1590657587.4103, 0.45, 0.5283, 0
1590657587.4353, 0.442, 0.5257, 0
1590657587.4612, 0.439, 0.5343, 0
1590657587.4891, 0.435, 0.5388, 0
1590657587.5133, 0.43, 0.5367, 0
1590657587.5402, 0.423, 0.541, 0
1590657587.5671, 0.419, 0.5412, 0
1590657587.593, 0.42, 0.5448, 0
1590657587.6213, 0.413, 0.5417, 0
1590657587.6472, 0.41, 0.5408, 0
1590657587.6762, 0.408, 0.5369, 0
1590657587.7053, 0.392, 0.5329, 0
1590657587.7312, 0.404, 0.5355, 0
1590657587.7591, 0.402, 0.5295, 0
1590657587.7851, 0.394, 0.5238, 0
1590657587.8103, 0.388, 0.518, 0
1590657587.8383, 0.389, 0.5157, 0
1590657587.8771, 0.389, 0.5099, 0
1590657587.9202, 0.374, 0.505, 0
1590657587.9472, 0.384, 0.502, 0
1590657587.9791, 0.372, 0.5, 0
1590657588.0083, 0.372, 0.497, 0
1590657588.0323, 0.364, 0.4935, 0
1590657588.0592, 0.368, 0.4927, 0
1590657588.0881, 0.346, 0.4901, 0
1590657588.1133, 0.343, 0.4892, 0
1590657588.1482, 0.342, 0.487, 0
1590657588.1801, 0.333, 0.4848, 0
1590657588.2115, 0.332, 0.4819, 0
1590657588.2435, 0.335, 0.4767, 0
1590657588.2774, 0.315, 0.4717, 0
1590657588.3083, 0.309, 0.4677, 0
1590657588.3342, 0.303, 0.4623, 0
1590657588.3632, 0.292, 0.4523, 0
1590657588.3931, 0.301, 0.4458, 0
1590657588.425, 0.309, 0.4433, 0
1590657588.4549, 0.313, 0.4345, 0
1590657588.4828, 0.303, 0.4238, 0
1590657588.5217, 0.31, 0.4155, 0
1590657588.5556, 0.307, 0.4014, 0
1590657588.6135, 0.341, 0.3816, 0
1590657588.6653, 0.357, 0.3762, 0
1590657588.6963, 0.378, 0.3639, 0
1590657588.7352, 0.398, 0.3611, 0
1590657588.7621, 0.397, 0.3587, 0
1590657588.791, 0.412, 0.3646, 0
1590657588.821, 0.427, 0.3757, 0
1590657588.8518, 0.423, 0.3915, 0
1590657588.8918, 0.413, 0.4163, 0
1590657588.9296, 0.43, 0.4495, 0
1590657588.9615, 0.419, 0.4596, 0
1590657588.9935, 0.42, 0.4692, 0
1590657589.0393, 0.417, 0.482, 0
1590657589.0723, 0.423, 0.4832, 0
1590657589.1062, 0.426, 0.4909, 0
1590657589.1367, 0.419, 0.5, 0
1590657589.1726, 0.417, 0.5097, 0
1590657589.2025, 0.436, 0.5258, 0
1590657589.2389, 0.457, 0.5455, 0
1590657589.2798, 0.484, 0.5693, 0
1590657589.3237, 0.516, 0.5985, 0
1590657589.3546, 0.528, 0.6112, 0
1590657589.3865, 0.556, 0.6177, 0
1590657589.4244, 0.56, 0.6424, 0
1590657589.4623, 0.557, 0.6522, 0
1590657589.4992, 0.558, 0.6537, 0
1590657589.5541, 0.527, 0.6672, 0
1590657589.587, 0.519, 0.6643, 0
1590657589.617, 0.503, 0.6664, 0
1590657589.6568, 0.476, 0.6659, 0
1590657589.6887, 0.465, 0.666, 0
1590657589.7232, 0.457, 0.655, 0
1590657589.7611, 0.453, 0.6546, 0
1590657589.805, 0.448, 0.6485, 0
1590657589.8421, 0.434, 0.6301, 0
1590657589.8731, 0.437, 0.6192, 0
1590657589.899, 0.409, 0.6066, 0
1590657589.9253, 0.412, 0.5853, 0
1590657589.9612, 0.391, 0.5654, 0
1590657589.9911, 0.378, 0.5392, 0
1590657590.0184, 0.356, 0.522, 0
1590657590.0532, 0.338, 0.4983, 0
1590657590.0882, 0.329, 0.4662, 0
1590657590.1146, 0.324, 0.4535, 0
1590657590.1435, 0.313, 0.4334, 0
1590657590.1765, 0.313, 0.4219, 0
1590657590.2134, 0.329, 0.4097, 0
1590657590.2453, 0.343, 0.4088, 0
1590657590.2812, 0.381, 0.4079, 0
1590657590.3181, 0.369, 0.4208, 0
1590657590.352, 0.387, 0.4611, 0
1590657590.3869, 0.411, 0.5169, 0
1590657590.4318, 0.42, 0.5544, 0
1590657590.4776, 0.433, 0.5986, 0
1590657590.5195, 0.418, 0.6072, 0
1590657590.5574, 0.427, 0.6087, 0
1590657590.5874, 0.433, 0.5988, 0
1590657590.6193, 0.439, 0.5783, 0
1590657590.6602, 0.454, 0.5439, 0
1590657590.6951, 0.454, 0.5204, 0
1590657590.73, 0.482, 0.4818, 0
1590657590.7709, 0.506, 0.4552, 0
1590657590.8118, 0.551, 0.4267, 0
1590657590.8407, 0.589, 0.4155, 0
1590657590.8756, 0.608, 0.4495, 0
1590657590.9105, 0.632, 0.5128, 0
1590657590.9474, 0.629, 0.5923, 0
1590657590.9863, 0.601, 0.6737, 0
1590657591.0298, 0.586, 0.7278, 0
1590657591.0627, 0.58, 0.7636, 0
1590657591.1016, 0.556, 0.7953, 0
1590657591.141, 0.531, 0.7831, 0
1590657591.1809, 0.516, 0.776, 0
1590657591.2118, 0.499, 0.7427, 0
1590657591.2458, 0.503, 0.7087, 0
1590657591.2727, 0.496, 0.6608, 0
1590657591.3027, 0.489, 0.6211, 0
1590657591.3405, 0.489, 0.5954, 0
1590657591.3674, 0.484, 0.5622, 0
1590657591.3934, 0.485, 0.533, 0
1590657591.4193, 0.461, 0.5162, 0
1590657591.4443, 0.444, 0.4944, 0
1590657591.4692, 0.434, 0.4837, 0
1590657591.4941, 0.426, 0.4693, 0
1590657591.5233, 0.424, 0.4612, 0
1590657591.5492, 0.406, 0.4437, 0
1590657591.5751, 0.407, 0.432, 0
1590657591.6031, 0.402, 0.434, 0
1590657591.6344, 0.405, 0.4333, 0
1590657591.6613, 0.426, 0.4167, 0
1590657591.6872, 0.418, 0.4142, 0
1590657591.7191, 0.44, 0.4067, 0
1590657591.7452, 0.46, 0.4017, 0
1590657591.7721, 0.463, 0.3988, 0
1590657591.798, 0.484, 0.3984, 0
1590657591.8232, 0.491, 0.402, 0
1590657591.8512, 0.49, 0.4105, 0
1590657591.8831, 0.512, 0.4319, 0
1590657591.91, 0.505, 0.4678, 0
1590657591.9353, 0.51, 0.5043, 0
1590657591.9603, 0.506, 0.5655, 0
1590657591.9861, 0.507, 0.5978, 0
1590657592.0101, 0.511, 0.6336, 0
1590657592.0335, 0.512, 0.6481, 0
1590657592.0575, 0.512, 0.6646, 0
1590657592.0844, 0.517, 0.6553, 0
1590657592.1113, 0.523, 0.6532, 0
1590657592.1382, 0.536, 0.6202, 0
1590657592.1612, 0.559, 0.5858, 0
1590657592.1881, 0.58, 0.554, 0
1590657592.2141, 0.611, 0.5341, 0
1590657592.24, 0.638, 0.525, 0
1590657592.2669, 0.629, 0.5283, 0
1590657592.2909, 0.63, 0.5364, 0
1590657592.3168, 0.61, 0.5626, 0
1590657592.3427, 0.576, 0.598, 0
1590657592.3696, 0.551, 0.6352, 0
1590657592.4036, 0.534, 0.666, 0
1590657592.4295, 0.519, 0.7002, 0
1590657592.4544, 0.513, 0.7236, 0
1590657592.4814, 0.506, 0.7526, 0
1590657592.5112, 0.506, 0.7701, 0
1590657592.5392, 0.507, 0.7642, 0
1590657592.5671, 0.508, 0.7844, 0
1590657592.597, 0.515, 0.784, 0
1590657592.622, 0.525, 0.7684, 0
1590657592.6479, 0.528, 0.7578, 0
1590657592.6738, 0.536, 0.7341, 0
1590657592.6998, 0.545, 0.701, 0
1590657592.7277, 0.553, 0.6589, 0
1590657592.7526, 0.575, 0.6133, 0
1590657592.7796, 0.577, 0.5618, 0
1590657592.8045, 0.577, 0.5219, 0
1590657592.8294, 0.599, 0.4941, 0
1590657592.8544, 0.579, 0.4808, 0
1590657592.8793, 0.55, 0.4766, 0
1590657592.9102, 0.547, 0.476, 0
1590657592.9387, 0.532, 0.4807, 0
1590657592.9696, 0.506, 0.4889, 0
1590657592.9985, 0.491, 0.5055, 0
1590657593.0244, 0.476, 0.5214, 0
1590657593.0509, 0.469, 0.538, 0
1590657593.0789, 0.462, 0.5513, 0
