model, time, acc, loss, tacc, tloss
model-Wed May 20 21:26:58 2020, 1589990231.138, 0.68, 0.2123, 0.62, 0.219, 0
model-Wed May 20 21:26:58 2020, 1589990231.203, 0.67, 0.2153, 0.68, 0.2151, 0
model-Wed May 20 21:26:58 2020, 1589990231.267, 0.57, 0.2332, 0.58, 0.2272, 0
model-Wed May 20 21:26:58 2020, 1589990231.333, 0.65, 0.2319, 0.69, 0.2136, 0
model-Wed May 20 21:26:58 2020, 1589990231.398, 0.71, 0.2164, 0.62, 0.2225, 0
model-Wed May 20 21:26:58 2020, 1589990231.464, 0.69, 0.2178, 0.63, 0.2176, 0
model-Wed May 20 21:26:58 2020, 1589990231.528, 0.68, 0.2107, 0.71, 0.1987, 0
model-Wed May 20 21:26:58 2020, 1589990231.593, 0.62, 0.2194, 0.66, 0.2188, 0
model-Wed May 20 21:26:58 2020, 1589990231.658, 0.69, 0.2164, 0.69, 0.2006, 0
model-Wed May 20 21:26:58 2020, 1589990231.724, 0.68, 0.2229, 0.65, 0.219, 0
model-Wed May 20 21:26:58 2020, 1589990231.788, 0.67, 0.2198, 0.65, 0.2331, 0
model-Wed May 20 21:26:58 2020, 1589990231.853, 0.6, 0.2356, 0.68, 0.2247, 0
model-Wed May 20 21:26:58 2020, 1589990231.917, 0.72, 0.1911, 0.64, 0.2233, 0
model-Wed May 20 21:26:58 2020, 1589990231.981, 0.68, 0.2181, 0.67, 0.2205, 0
model-Wed May 20 21:26:58 2020, 1589990232.045, 0.69, 0.204, 0.61, 0.2337, 0
model-Wed May 20 21:26:58 2020, 1589990232.109, 0.56, 0.2395, 0.65, 0.2196, 0
model-Wed May 20 21:26:58 2020, 1589990232.182, 0.68, 0.2067, 0.66, 0.2329, 0
model-Wed May 20 21:26:58 2020, 1589990232.246, 0.61, 0.2536, 0.55, 0.2515, 0
model-Wed May 20 21:26:58 2020, 1589990232.309, 0.55, 0.2635, 0.66, 0.222, 0
model-Wed May 20 21:26:58 2020, 1589990232.373, 0.62, 0.2375, 0.69, 0.2162, 0
model-Wed May 20 21:26:58 2020, 1589990232.436, 0.71, 0.2055, 0.6, 0.2255, 0
model-Wed May 20 21:26:58 2020, 1589990232.513, 0.64, 0.2183, 0.59, 0.2388, 0
model-Wed May 20 21:26:58 2020, 1589990232.577, 0.62, 0.2496, 0.64, 0.2329, 0
model-Wed May 20 21:26:58 2020, 1589990232.641, 0.53, 0.2678, 0.68, 0.2167, 0
model-Wed May 20 21:26:58 2020, 1589990232.704, 0.67, 0.2135, 0.68, 0.2051, 0
model-Wed May 20 21:26:58 2020, 1589990232.769, 0.58, 0.2238, 0.68, 0.2215, 0
model-Wed May 20 21:26:58 2020, 1589990232.851, 0.66, 0.2125, 0.59, 0.2506, 0
model-Wed May 20 21:26:58 2020, 1589990232.915, 0.66, 0.2266, 0.58, 0.2317, 0
model-Wed May 20 21:26:58 2020, 1589990232.977, 0.55, 0.247, 0.67, 0.2302, 0
model-Wed May 20 21:26:58 2020, 1589990233.04, 0.61, 0.2216, 0.61, 0.229, 0
model-Wed May 20 21:26:58 2020, 1589990233.104, 0.59, 0.2397, 0.61, 0.2305, 0
model-Wed May 20 21:26:58 2020, 1589990233.167, 0.67, 0.2248, 0.65, 0.2225, 0
model-Wed May 20 21:26:58 2020, 1589990233.231, 0.65, 0.2245, 0.7, 0.2294, 0
model-Wed May 20 21:26:58 2020, 1589990233.294, 0.66, 0.2282, 0.66, 0.2235, 0
model-Wed May 20 21:26:58 2020, 1589990233.357, 0.63, 0.2357, 0.67, 0.22, 0
model-Wed May 20 21:26:58 2020, 1589990233.421, 0.6, 0.2241, 0.66, 0.2263, 0
model-Wed May 20 21:26:58 2020, 1589990233.469, 0.69, 0.2038, 0.68, 0.2324, 0
model-Wed May 20 21:26:58 2020, 1589990233.547, 0.66, 0.2216, 0.67, 0.2191, 1
model-Wed May 20 21:26:58 2020, 1589990233.61, 0.64, 0.2234, 0.67, 0.213, 1
model-Wed May 20 21:26:58 2020, 1589990233.673, 0.65, 0.232, 0.54, 0.2385, 1
model-Wed May 20 21:26:58 2020, 1589990233.736, 0.61, 0.2289, 0.6, 0.2316, 1
model-Wed May 20 21:26:58 2020, 1589990233.8, 0.71, 0.2064, 0.61, 0.2302, 1
model-Wed May 20 21:26:58 2020, 1589990233.866, 0.6, 0.2307, 0.68, 0.2102, 1
model-Wed May 20 21:26:58 2020, 1589990233.931, 0.7, 0.2087, 0.61, 0.2288, 1
model-Wed May 20 21:26:58 2020, 1589990233.992, 0.62, 0.2257, 0.65, 0.2051, 1
model-Wed May 20 21:26:58 2020, 1589990234.057, 0.6, 0.2247, 0.65, 0.2215, 1
model-Wed May 20 21:26:58 2020, 1589990234.12, 0.58, 0.2463, 0.63, 0.2209, 1
model-Wed May 20 21:26:58 2020, 1589990234.208, 0.65, 0.22, 0.64, 0.2211, 1
model-Wed May 20 21:26:58 2020, 1589990234.275, 0.62, 0.229, 0.65, 0.2144, 1
model-Wed May 20 21:26:58 2020, 1589990234.342, 0.67, 0.218, 0.74, 0.2127, 1
model-Wed May 20 21:26:58 2020, 1589990234.404, 0.69, 0.2155, 0.67, 0.2173, 1
model-Wed May 20 21:26:58 2020, 1589990234.468, 0.68, 0.1926, 0.74, 0.1933, 1
model-Wed May 20 21:26:58 2020, 1589990234.531, 0.69, 0.2073, 0.68, 0.213, 1
model-Wed May 20 21:26:58 2020, 1589990234.596, 0.57, 0.234, 0.66, 0.224, 1
model-Wed May 20 21:26:58 2020, 1589990234.66, 0.65, 0.2118, 0.7, 0.2118, 1
model-Wed May 20 21:26:58 2020, 1589990234.734, 0.55, 0.2383, 0.63, 0.2286, 1
model-Wed May 20 21:26:58 2020, 1589990234.796, 0.66, 0.2102, 0.69, 0.2115, 1
model-Wed May 20 21:26:58 2020, 1589990234.859, 0.7, 0.2003, 0.61, 0.2294, 1
model-Wed May 20 21:26:58 2020, 1589990234.921, 0.7, 0.2111, 0.64, 0.2172, 1
model-Wed May 20 21:26:58 2020, 1589990234.985, 0.65, 0.2179, 0.64, 0.2191, 1
model-Wed May 20 21:26:58 2020, 1589990235.048, 0.52, 0.25, 0.65, 0.2259, 1
model-Wed May 20 21:26:58 2020, 1589990235.113, 0.67, 0.2124, 0.64, 0.2196, 1
model-Wed May 20 21:26:58 2020, 1589990235.178, 0.69, 0.2188, 0.67, 0.2113, 1
model-Wed May 20 21:26:58 2020, 1589990235.246, 0.6, 0.2442, 0.63, 0.2305, 1
model-Wed May 20 21:26:58 2020, 1589990235.313, 0.6, 0.2328, 0.68, 0.2083, 1
model-Wed May 20 21:26:58 2020, 1589990235.38, 0.67, 0.2043, 0.71, 0.2118, 1
model-Wed May 20 21:26:58 2020, 1589990235.445, 0.68, 0.2066, 0.63, 0.2214, 1
model-Wed May 20 21:26:58 2020, 1589990235.519, 0.68, 0.2056, 0.69, 0.2079, 1
model-Wed May 20 21:26:58 2020, 1589990235.583, 0.69, 0.2041, 0.65, 0.2137, 1
model-Wed May 20 21:26:58 2020, 1589990235.657, 0.64, 0.2204, 0.58, 0.2272, 1
model-Wed May 20 21:26:58 2020, 1589990235.722, 0.61, 0.2283, 0.61, 0.2277, 1
model-Wed May 20 21:26:58 2020, 1589990235.786, 0.7, 0.199, 0.64, 0.2113, 1
model-Wed May 20 21:26:58 2020, 1589990235.849, 0.54, 0.2478, 0.69, 0.2166, 1
model-Wed May 20 21:26:58 2020, 1589990235.912, 0.58, 0.2383, 0.62, 0.2263, 1
model-Wed May 20 21:26:58 2020, 1589990235.975, 0.6, 0.2251, 0.65, 0.2086, 1
model-Wed May 20 21:26:58 2020, 1589990236.038, 0.64, 0.2119, 0.7, 0.2121, 1
model-Wed May 20 21:26:58 2020, 1589990236.101, 0.63, 0.2137, 0.71, 0.2056, 1
model-Wed May 20 21:26:58 2020, 1589990236.165, 0.66, 0.2251, 0.69, 0.2023, 1
model-Wed May 20 21:26:58 2020, 1589990236.228, 0.7, 0.1975, 0.66, 0.2123, 1
model-Wed May 20 21:26:58 2020, 1589990236.291, 0.61, 0.2276, 0.68, 0.1991, 1
model-Wed May 20 21:26:58 2020, 1589990236.354, 0.67, 0.2238, 0.67, 0.2035, 1
model-Wed May 20 21:26:58 2020, 1589990236.417, 0.58, 0.2421, 0.57, 0.2472, 1
model-Wed May 20 21:26:58 2020, 1589990236.48, 0.66, 0.2311, 0.66, 0.2235, 1
model-Wed May 20 21:26:58 2020, 1589990236.544, 0.66, 0.2141, 0.54, 0.2477, 1
model-Wed May 20 21:26:58 2020, 1589990236.606, 0.71, 0.2031, 0.65, 0.2152, 1
model-Wed May 20 21:26:58 2020, 1589990236.669, 0.59, 0.2327, 0.69, 0.2143, 1
model-Wed May 20 21:26:58 2020, 1589990236.731, 0.61, 0.223, 0.61, 0.2237, 1
model-Wed May 20 21:26:58 2020, 1589990236.795, 0.62, 0.2325, 0.66, 0.2166, 1
model-Wed May 20 21:26:58 2020, 1589990236.857, 0.63, 0.2222, 0.63, 0.2164, 1
model-Wed May 20 21:26:58 2020, 1589990236.921, 0.7, 0.2105, 0.65, 0.2197, 1
model-Wed May 20 21:26:58 2020, 1589990236.983, 0.58, 0.2263, 0.68, 0.2163, 1
model-Wed May 20 21:26:58 2020, 1589990237.045, 0.66, 0.2196, 0.7, 0.2025, 1
model-Wed May 20 21:26:58 2020, 1589990237.108, 0.69, 0.2126, 0.7, 0.2001, 1
model-Wed May 20 21:26:58 2020, 1589990237.182, 0.73, 0.196, 0.66, 0.219, 1
model-Wed May 20 21:26:58 2020, 1589990237.245, 0.61, 0.2217, 0.62, 0.229, 1
model-Wed May 20 21:26:58 2020, 1589990237.309, 0.71, 0.1983, 0.66, 0.2132, 1
model-Wed May 20 21:26:58 2020, 1589990237.371, 0.63, 0.2308, 0.69, 0.2194, 1
model-Wed May 20 21:26:58 2020, 1589990237.446, 0.63, 0.213, 0.59, 0.2226, 1
model-Wed May 20 21:26:58 2020, 1589990237.509, 0.6, 0.2172, 0.7, 0.1985, 1
model-Wed May 20 21:26:58 2020, 1589990237.582, 0.8, 0.1642, 0.61, 0.2285, 1
model-Wed May 20 21:26:58 2020, 1589990237.644, 0.62, 0.2279, 0.65, 0.2242, 1
model-Wed May 20 21:26:58 2020, 1589990237.708, 0.6, 0.2356, 0.65, 0.2161, 1
model-Wed May 20 21:26:58 2020, 1589990237.769, 0.71, 0.1984, 0.64, 0.2241, 1
model-Wed May 20 21:26:58 2020, 1589990237.834, 0.65, 0.2087, 0.61, 0.2306, 1
model-Wed May 20 21:26:58 2020, 1589990237.897, 0.65, 0.2259, 0.67, 0.2173, 1
model-Wed May 20 21:26:58 2020, 1589990237.964, 0.62, 0.2193, 0.72, 0.1903, 1
model-Wed May 20 21:26:58 2020, 1589990238.026, 0.67, 0.2149, 0.62, 0.2458, 1
model-Wed May 20 21:26:58 2020, 1589990238.089, 0.62, 0.2227, 0.67, 0.2125, 1
model-Wed May 20 21:26:58 2020, 1589990238.15, 0.54, 0.2532, 0.66, 0.2235, 1
model-Wed May 20 21:26:58 2020, 1589990238.214, 0.6, 0.2381, 0.61, 0.2201, 1
model-Wed May 20 21:26:58 2020, 1589990238.279, 0.62, 0.2219, 0.63, 0.2329, 1
model-Wed May 20 21:26:58 2020, 1589990238.353, 0.6, 0.2333, 0.66, 0.2088, 1
model-Wed May 20 21:26:58 2020, 1589990238.415, 0.65, 0.2086, 0.58, 0.2285, 1
model-Wed May 20 21:26:58 2020, 1589990238.48, 0.52, 0.2522, 0.62, 0.2264, 1
model-Wed May 20 21:26:58 2020, 1589990238.541, 0.75, 0.201, 0.72, 0.2091, 1
model-Wed May 20 21:26:58 2020, 1589990238.616, 0.72, 0.2028, 0.71, 0.2051, 1
model-Wed May 20 21:26:58 2020, 1589990238.687, 0.63, 0.2241, 0.67, 0.2127, 1
model-Wed May 20 21:26:58 2020, 1589990238.751, 0.55, 0.2358, 0.76, 0.1871, 1
model-Wed May 20 21:26:58 2020, 1589990238.814, 0.7, 0.1927, 0.74, 0.2058, 1
model-Wed May 20 21:26:58 2020, 1589990238.877, 0.58, 0.225, 0.66, 0.2213, 1
model-Wed May 20 21:26:58 2020, 1589990238.941, 0.67, 0.2025, 0.63, 0.218, 1
model-Wed May 20 21:26:58 2020, 1589990239.005, 0.65, 0.2049, 0.7, 0.2105, 1
model-Wed May 20 21:26:58 2020, 1589990239.068, 0.65, 0.2291, 0.63, 0.2134, 1
model-Wed May 20 21:26:58 2020, 1589990239.132, 0.75, 0.1866, 0.69, 0.2015, 1
model-Wed May 20 21:26:58 2020, 1589990239.194, 0.58, 0.2442, 0.72, 0.1965, 1
model-Wed May 20 21:26:58 2020, 1589990239.257, 0.7, 0.2138, 0.69, 0.2212, 1
model-Wed May 20 21:26:58 2020, 1589990239.32, 0.66, 0.2162, 0.72, 0.206, 1
model-Wed May 20 21:26:58 2020, 1589990239.385, 0.71, 0.178, 0.64, 0.217, 1
model-Wed May 20 21:26:58 2020, 1589990239.448, 0.79, 0.1723, 0.6, 0.2414, 1
model-Wed May 20 21:26:58 2020, 1589990239.533, 0.73, 0.1716, 0.66, 0.228, 1
model-Wed May 20 21:26:58 2020, 1589990239.599, 0.65, 0.2116, 0.68, 0.1966, 1
model-Wed May 20 21:26:58 2020, 1589990239.672, 0.63, 0.2215, 0.7, 0.1967, 1
model-Wed May 20 21:26:58 2020, 1589990239.734, 0.72, 0.1858, 0.63, 0.2191, 1
model-Wed May 20 21:26:58 2020, 1589990239.799, 0.73, 0.1868, 0.69, 0.2124, 1
model-Wed May 20 21:26:58 2020, 1589990239.863, 0.64, 0.2084, 0.72, 0.1922, 1
model-Wed May 20 21:26:58 2020, 1589990239.929, 0.66, 0.1897, 0.69, 0.1958, 1
model-Wed May 20 21:26:58 2020, 1589990239.993, 0.72, 0.2001, 0.7, 0.1925, 1
model-Wed May 20 21:26:58 2020, 1589990240.058, 0.68, 0.1811, 0.73, 0.1846, 1
model-Wed May 20 21:26:58 2020, 1589990240.121, 0.69, 0.1981, 0.64, 0.222, 1
model-Wed May 20 21:26:58 2020, 1589990240.185, 0.67, 0.218, 0.7, 0.1836, 1
model-Wed May 20 21:26:58 2020, 1589990240.248, 0.74, 0.1873, 0.71, 0.1992, 1
model-Wed May 20 21:26:58 2020, 1589990240.312, 0.66, 0.219, 0.69, 0.2096, 1
model-Wed May 20 21:26:58 2020, 1589990240.385, 0.67, 0.2015, 0.7, 0.1866, 1
model-Wed May 20 21:26:58 2020, 1589990240.45, 0.68, 0.2102, 0.72, 0.1936, 1
model-Wed May 20 21:26:58 2020, 1589990240.513, 0.67, 0.2054, 0.64, 0.2115, 1
model-Wed May 20 21:26:58 2020, 1589990240.597, 0.72, 0.1847, 0.76, 0.1804, 1
model-Wed May 20 21:26:58 2020, 1589990240.663, 0.69, 0.2109, 0.73, 0.1948, 1
model-Wed May 20 21:26:58 2020, 1589990240.73, 0.62, 0.2118, 0.63, 0.2432, 1
model-Wed May 20 21:26:58 2020, 1589990240.794, 0.7, 0.2158, 0.62, 0.2348, 1
model-Wed May 20 21:26:58 2020, 1589990240.871, 0.7, 0.2245, 0.7, 0.2046, 1
model-Wed May 20 21:26:58 2020, 1589990240.936, 0.7, 0.2058, 0.69, 0.2008, 1
model-Wed May 20 21:26:58 2020, 1589990241.003, 0.69, 0.2029, 0.62, 0.2119, 1
model-Wed May 20 21:26:58 2020, 1589990241.066, 0.64, 0.2164, 0.67, 0.2033, 1
model-Wed May 20 21:26:58 2020, 1589990241.13, 0.65, 0.2091, 0.66, 0.2159, 1
model-Wed May 20 21:26:58 2020, 1589990241.194, 0.72, 0.1986, 0.69, 0.1851, 1
model-Wed May 20 21:26:58 2020, 1589990241.259, 0.62, 0.2206, 0.68, 0.2142, 1
model-Wed May 20 21:26:58 2020, 1589990241.321, 0.61, 0.2342, 0.69, 0.1947, 1
model-Wed May 20 21:26:58 2020, 1589990241.385, 0.75, 0.1959, 0.74, 0.2001, 1
model-Wed May 20 21:26:58 2020, 1589990241.447, 0.67, 0.2003, 0.69, 0.2109, 1
model-Wed May 20 21:26:58 2020, 1589990241.51, 0.72, 0.1901, 0.75, 0.1853, 1
model-Wed May 20 21:26:58 2020, 1589990241.573, 0.72, 0.1791, 0.61, 0.2094, 1
model-Wed May 20 21:26:58 2020, 1589990241.637, 0.7, 0.1869, 0.59, 0.2285, 1
model-Wed May 20 21:26:58 2020, 1589990241.699, 0.67, 0.2257, 0.64, 0.2016, 1
model-Wed May 20 21:26:58 2020, 1589990241.763, 0.68, 0.1948, 0.62, 0.2318, 1
model-Wed May 20 21:26:58 2020, 1589990241.837, 0.66, 0.2148, 0.68, 0.1937, 1
model-Wed May 20 21:26:58 2020, 1589990241.9, 0.68, 0.2127, 0.62, 0.2228, 1
model-Wed May 20 21:26:58 2020, 1589990241.963, 0.64, 0.2307, 0.64, 0.2194, 1
model-Wed May 20 21:26:58 2020, 1589990242.027, 0.65, 0.2044, 0.64, 0.2211, 1
model-Wed May 20 21:26:58 2020, 1589990242.091, 0.74, 0.2003, 0.59, 0.2377, 1
model-Wed May 20 21:26:58 2020, 1589990242.167, 0.57, 0.2192, 0.71, 0.2119, 1
model-Wed May 20 21:26:58 2020, 1589990242.23, 0.62, 0.2533, 0.74, 0.1893, 1
model-Wed May 20 21:26:58 2020, 1589990242.294, 0.69, 0.2064, 0.73, 0.1803, 1
model-Wed May 20 21:26:58 2020, 1589990242.356, 0.61, 0.2403, 0.76, 0.178, 1
model-Wed May 20 21:26:58 2020, 1589990242.419, 0.75, 0.1902, 0.68, 0.1961, 1
model-Wed May 20 21:26:58 2020, 1589990242.482, 0.78, 0.1745, 0.71, 0.2116, 1
model-Wed May 20 21:26:58 2020, 1589990242.546, 0.66, 0.2023, 0.71, 0.1958, 1
model-Wed May 20 21:26:58 2020, 1589990242.608, 0.75, 0.1731, 0.73, 0.2031, 1
model-Wed May 20 21:26:58 2020, 1589990242.67, 0.57, 0.2217, 0.71, 0.1959, 1
model-Wed May 20 21:26:58 2020, 1589990242.733, 0.64, 0.2079, 0.75, 0.1897, 1
model-Wed May 20 21:26:58 2020, 1589990242.797, 0.67, 0.2105, 0.71, 0.2053, 1
model-Wed May 20 21:26:58 2020, 1589990242.859, 0.66, 0.2139, 0.65, 0.2208, 1
model-Wed May 20 21:26:58 2020, 1589990242.923, 0.57, 0.2629, 0.61, 0.2261, 1
model-Wed May 20 21:26:58 2020, 1589990242.985, 0.74, 0.1723, 0.64, 0.2063, 1
model-Wed May 20 21:26:58 2020, 1589990243.047, 0.76, 0.1774, 0.7, 0.2115, 1
model-Wed May 20 21:26:58 2020, 1589990243.12, 0.68, 0.2038, 0.68, 0.2094, 1
model-Wed May 20 21:26:58 2020, 1589990243.194, 0.63, 0.2205, 0.66, 0.22, 1
model-Wed May 20 21:26:58 2020, 1589990243.256, 0.65, 0.2088, 0.64, 0.2223, 1
model-Wed May 20 21:26:58 2020, 1589990243.319, 0.68, 0.2056, 0.69, 0.1889, 1
model-Wed May 20 21:26:58 2020, 1589990243.38, 0.64, 0.209, 0.66, 0.2188, 1
model-Wed May 20 21:26:58 2020, 1589990243.445, 0.62, 0.221, 0.73, 0.1976, 1
model-Wed May 20 21:26:58 2020, 1589990243.507, 0.77, 0.182, 0.65, 0.2169, 1
model-Wed May 20 21:26:58 2020, 1589990243.571, 0.68, 0.1976, 0.73, 0.183, 1
model-Wed May 20 21:26:58 2020, 1589990243.633, 0.64, 0.2144, 0.68, 0.2062, 1
model-Wed May 20 21:26:58 2020, 1589990243.697, 0.69, 0.208, 0.63, 0.2136, 1
model-Wed May 20 21:26:58 2020, 1589990243.759, 0.68, 0.2063, 0.73, 0.1938, 1
model-Wed May 20 21:26:58 2020, 1589990243.823, 0.7, 0.1827, 0.69, 0.1984, 1
model-Wed May 20 21:26:58 2020, 1589990243.886, 0.67, 0.2128, 0.67, 0.2183, 1
model-Wed May 20 21:26:58 2020, 1589990243.949, 0.65, 0.1987, 0.73, 0.2015, 1
model-Wed May 20 21:26:58 2020, 1589990244.012, 0.7, 0.2024, 0.75, 0.184, 1
model-Wed May 20 21:26:58 2020, 1589990244.076, 0.59, 0.2458, 0.62, 0.2196, 1
model-Wed May 20 21:26:58 2020, 1589990244.138, 0.69, 0.1945, 0.67, 0.2022, 1
model-Wed May 20 21:26:58 2020, 1589990244.204, 0.66, 0.2165, 0.68, 0.2054, 1
model-Wed May 20 21:26:58 2020, 1589990244.269, 0.76, 0.1865, 0.72, 0.1937, 1
model-Wed May 20 21:26:58 2020, 1589990244.332, 0.62, 0.2327, 0.71, 0.1884, 1
model-Wed May 20 21:26:58 2020, 1589990244.395, 0.75, 0.1704, 0.75, 0.1825, 1
model-Wed May 20 21:26:58 2020, 1589990244.46, 0.62, 0.2187, 0.7, 0.2129, 1
model-Wed May 20 21:26:58 2020, 1589990244.522, 0.75, 0.181, 0.69, 0.1988, 1
model-Wed May 20 21:26:58 2020, 1589990244.586, 0.71, 0.1832, 0.79, 0.1809, 1
model-Wed May 20 21:26:58 2020, 1589990244.649, 0.73, 0.1961, 0.66, 0.2104, 1
model-Wed May 20 21:26:58 2020, 1589990244.713, 0.71, 0.1924, 0.67, 0.2118, 1
model-Wed May 20 21:26:58 2020, 1589990244.775, 0.73, 0.1727, 0.74, 0.1835, 1
model-Wed May 20 21:26:58 2020, 1589990244.849, 0.74, 0.1936, 0.6, 0.239, 1
model-Wed May 20 21:26:58 2020, 1589990244.91, 0.74, 0.1927, 0.64, 0.2128, 1
model-Wed May 20 21:26:58 2020, 1589990244.975, 0.66, 0.2167, 0.64, 0.2088, 1
model-Wed May 20 21:26:58 2020, 1589990245.048, 0.67, 0.1985, 0.78, 0.1498, 1
model-Wed May 20 21:26:58 2020, 1589990245.112, 0.69, 0.1945, 0.6, 0.2377, 1
model-Wed May 20 21:26:58 2020, 1589990245.174, 0.55, 0.2799, 0.77, 0.1725, 1
model-Wed May 20 21:26:58 2020, 1589990245.238, 0.7, 0.2006, 0.65, 0.2135, 1
model-Wed May 20 21:26:58 2020, 1589990245.302, 0.61, 0.2155, 0.72, 0.206, 1
model-Wed May 20 21:26:58 2020, 1589990245.376, 0.74, 0.1997, 0.68, 0.1927, 1
model-Wed May 20 21:26:58 2020, 1589990245.448, 0.63, 0.2257, 0.64, 0.2188, 1
model-Wed May 20 21:26:58 2020, 1589990245.511, 0.68, 0.2047, 0.69, 0.1977, 1
model-Wed May 20 21:26:58 2020, 1589990245.573, 0.67, 0.2013, 0.76, 0.1788, 1
model-Wed May 20 21:26:58 2020, 1589990245.636, 0.66, 0.1983, 0.72, 0.1773, 1
model-Wed May 20 21:26:58 2020, 1589990245.698, 0.68, 0.1951, 0.7, 0.2029, 1
model-Wed May 20 21:26:58 2020, 1589990245.762, 0.68, 0.1851, 0.69, 0.2037, 1
model-Wed May 20 21:26:58 2020, 1589990245.825, 0.64, 0.2088, 0.72, 0.1852, 1
model-Wed May 20 21:26:58 2020, 1589990245.889, 0.63, 0.2051, 0.61, 0.2155, 1
model-Wed May 20 21:26:58 2020, 1589990245.952, 0.7, 0.1976, 0.76, 0.1893, 1
model-Wed May 20 21:26:58 2020, 1589990246.014, 0.7, 0.2055, 0.68, 0.2102, 1
model-Wed May 20 21:26:58 2020, 1589990246.077, 0.66, 0.1966, 0.7, 0.1963, 1
model-Wed May 20 21:26:58 2020, 1589990246.141, 0.76, 0.1801, 0.69, 0.2034, 1
model-Wed May 20 21:26:58 2020, 1589990246.203, 0.74, 0.1853, 0.63, 0.2276, 1
model-Wed May 20 21:26:58 2020, 1589990246.268, 0.71, 0.1767, 0.67, 0.213, 1
model-Wed May 20 21:26:58 2020, 1589990246.33, 0.74, 0.1958, 0.69, 0.1842, 1
model-Wed May 20 21:26:58 2020, 1589990246.393, 0.69, 0.1825, 0.69, 0.2226, 1
model-Wed May 20 21:26:58 2020, 1589990246.456, 0.64, 0.2154, 0.72, 0.1956, 1
model-Wed May 20 21:26:58 2020, 1589990246.521, 0.78, 0.1676, 0.72, 0.1917, 1
model-Wed May 20 21:26:58 2020, 1589990246.583, 0.64, 0.2081, 0.7, 0.1955, 1
model-Wed May 20 21:26:58 2020, 1589990246.647, 0.72, 0.1858, 0.66, 0.2096, 1
model-Wed May 20 21:26:58 2020, 1589990246.709, 0.69, 0.1917, 0.67, 0.2067, 1
model-Wed May 20 21:26:58 2020, 1589990246.777, 0.71, 0.1908, 0.8, 0.1595, 1
model-Wed May 20 21:26:58 2020, 1589990246.845, 0.76, 0.1757, 0.77, 0.1781, 1
model-Wed May 20 21:26:58 2020, 1589990246.913, 0.73, 0.1969, 0.75, 0.1834, 1
model-Wed May 20 21:26:58 2020, 1589990246.978, 0.67, 0.2082, 0.74, 0.172, 1
model-Wed May 20 21:26:58 2020, 1589990247.049, 0.73, 0.1712, 0.73, 0.1813, 1
model-Wed May 20 21:26:58 2020, 1589990247.113, 0.73, 0.1933, 0.7, 0.1966, 1
model-Wed May 20 21:26:58 2020, 1589990247.179, 0.66, 0.1944, 0.66, 0.2165, 1
model-Wed May 20 21:26:58 2020, 1589990247.242, 0.65, 0.2143, 0.69, 0.1916, 1
model-Wed May 20 21:26:58 2020, 1589990247.317, 0.76, 0.1721, 0.66, 0.2109, 1
model-Wed May 20 21:26:58 2020, 1589990247.379, 0.72, 0.1734, 0.64, 0.2331, 1
model-Wed May 20 21:26:58 2020, 1589990247.444, 0.73, 0.1846, 0.7, 0.2136, 1
model-Wed May 20 21:26:58 2020, 1589990247.506, 0.69, 0.1888, 0.78, 0.1689, 1
model-Wed May 20 21:26:58 2020, 1589990247.569, 0.64, 0.2308, 0.74, 0.1824, 1
model-Wed May 20 21:26:58 2020, 1589990247.632, 0.58, 0.2318, 0.65, 0.2174, 1
model-Wed May 20 21:26:58 2020, 1589990247.696, 0.71, 0.1974, 0.78, 0.1838, 1
model-Wed May 20 21:26:58 2020, 1589990247.758, 0.73, 0.1811, 0.74, 0.1933, 1
model-Wed May 20 21:26:58 2020, 1589990247.822, 0.67, 0.1849, 0.77, 0.1646, 1
model-Wed May 20 21:26:58 2020, 1589990247.883, 0.74, 0.169, 0.77, 0.1751, 1
model-Wed May 20 21:26:58 2020, 1589990247.946, 0.7, 0.208, 0.66, 0.1985, 1
model-Wed May 20 21:26:58 2020, 1589990248.018, 0.74, 0.1896, 0.66, 0.2154, 1
model-Wed May 20 21:26:58 2020, 1589990248.065, 0.88, 0.1201, 0.7, 0.1998, 1
model-Wed May 20 21:26:58 2020, 1589990248.144, 0.79, 0.1692, 0.73, 0.1735, 2
model-Wed May 20 21:26:58 2020, 1589990248.206, 0.72, 0.1819, 0.63, 0.2134, 2
model-Wed May 20 21:26:58 2020, 1589990248.282, 0.66, 0.2406, 0.7, 0.2031, 2
model-Wed May 20 21:26:58 2020, 1589990248.344, 0.7, 0.2012, 0.73, 0.1888, 2
model-Wed May 20 21:26:58 2020, 1589990248.408, 0.75, 0.1493, 0.67, 0.1972, 2
model-Wed May 20 21:26:58 2020, 1589990248.469, 0.69, 0.2049, 0.61, 0.2215, 2
model-Wed May 20 21:26:58 2020, 1589990248.533, 0.72, 0.1958, 0.68, 0.2083, 2
model-Wed May 20 21:26:58 2020, 1589990248.595, 0.75, 0.1702, 0.69, 0.2112, 2
model-Wed May 20 21:26:58 2020, 1589990248.667, 0.68, 0.198, 0.7, 0.1957, 2
model-Wed May 20 21:26:58 2020, 1589990248.729, 0.64, 0.2399, 0.68, 0.2009, 2
model-Wed May 20 21:26:58 2020, 1589990248.803, 0.68, 0.2006, 0.66, 0.2023, 2
model-Wed May 20 21:26:58 2020, 1589990248.866, 0.63, 0.218, 0.75, 0.1714, 2
model-Wed May 20 21:26:58 2020, 1589990248.929, 0.71, 0.184, 0.69, 0.1855, 2
