model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987451.392, 0.56, 0.2423, 0.57, 0.2358
model-Wed May 20 20:40:38 2020, 1589987451.456, 0.54, 0.2506, 0.56, 0.2351
model-Wed May 20 20:40:38 2020, 1589987451.52, 0.54, 0.2488, 0.55, 0.2421
model-Wed May 20 20:40:38 2020, 1589987451.585, 0.57, 0.2498, 0.57, 0.2356
model-Wed May 20 20:40:38 2020, 1589987451.659, 0.55, 0.2439, 0.54, 0.2377
model-Wed May 20 20:40:38 2020, 1589987451.724, 0.62, 0.2348, 0.6, 0.2297
model-Wed May 20 20:40:38 2020, 1589987451.789, 0.64, 0.242, 0.65, 0.2333
model-Wed May 20 20:40:38 2020, 1589987451.853, 0.56, 0.2486, 0.62, 0.2345
model-Wed May 20 20:40:38 2020, 1589987451.92, 0.62, 0.235, 0.6, 0.2345
model-Wed May 20 20:40:38 2020, 1589987451.985, 0.66, 0.2318, 0.62, 0.236
model-Wed May 20 20:40:38 2020, 1589987452.048, 0.62, 0.2332, 0.66, 0.2237
model-Wed May 20 20:40:38 2020, 1589987452.123, 0.64, 0.2348, 0.62, 0.2326
model-Wed May 20 20:40:38 2020, 1589987452.196, 0.58, 0.2337, 0.68, 0.2256
model-Wed May 20 20:40:38 2020, 1589987452.26, 0.65, 0.2294, 0.65, 0.2191
model-Wed May 20 20:40:38 2020, 1589987452.324, 0.65, 0.2296, 0.63, 0.2363
model-Wed May 20 20:40:38 2020, 1589987452.39, 0.63, 0.2297, 0.61, 0.2313
model-Wed May 20 20:40:38 2020, 1589987452.454, 0.7, 0.2279, 0.65, 0.2188
model-Wed May 20 20:40:38 2020, 1589987452.519, 0.64, 0.2238, 0.54, 0.2409
model-Wed May 20 20:40:38 2020, 1589987452.582, 0.59, 0.2257, 0.62, 0.2272
model-Wed May 20 20:40:38 2020, 1589987452.647, 0.58, 0.2348, 0.63, 0.2281
model-Wed May 20 20:40:38 2020, 1589987452.71, 0.67, 0.2135, 0.63, 0.2387
model-Wed May 20 20:40:38 2020, 1589987452.775, 0.59, 0.2248, 0.57, 0.2388
model-Wed May 20 20:40:38 2020, 1589987452.839, 0.68, 0.2082, 0.58, 0.2486
model-Wed May 20 20:40:38 2020, 1589987452.904, 0.59, 0.2433, 0.54, 0.2636
model-Wed May 20 20:40:38 2020, 1589987452.969, 0.68, 0.2187, 0.52, 0.2677
model-Wed May 20 20:40:38 2020, 1589987453.034, 0.57, 0.2753, 0.55, 0.2496
model-Wed May 20 20:40:38 2020, 1589987453.098, 0.56, 0.2599, 0.66, 0.2225
model-Wed May 20 20:40:38 2020, 1589987453.163, 0.63, 0.2251, 0.55, 0.234
model-Wed May 20 20:40:38 2020, 1589987453.226, 0.68, 0.2235, 0.44, 0.2862
model-Wed May 20 20:40:38 2020, 1589987453.292, 0.63, 0.2228, 0.5, 0.2809
model-Wed May 20 20:40:38 2020, 1589987453.354, 0.55, 0.2655, 0.58, 0.2222
model-Wed May 20 20:40:38 2020, 1589987453.419, 0.5, 0.2775, 0.55, 0.2431
model-Wed May 20 20:40:38 2020, 1589987453.483, 0.6, 0.2273, 0.65, 0.2245
model-Wed May 20 20:40:38 2020, 1589987453.554, 0.6, 0.2366, 0.61, 0.2336
model-Wed May 20 20:40:38 2020, 1589987453.618, 0.74, 0.2137, 0.56, 0.2446
model-Wed May 20 20:40:38 2020, 1589987453.683, 0.57, 0.2317, 0.55, 0.24
model-Wed May 20 20:40:38 2020, 1589987453.747, 0.52, 0.2499, 0.59, 0.2446
model-Wed May 20 20:40:38 2020, 1589987453.812, 0.63, 0.2294, 0.62, 0.2305
model-Wed May 20 20:40:38 2020, 1589987453.878, 0.55, 0.2533, 0.59, 0.2362
model-Wed May 20 20:40:38 2020, 1589987453.944, 0.61, 0.2293, 0.66, 0.2194
model-Wed May 20 20:40:38 2020, 1589987454.013, 0.62, 0.2315, 0.65, 0.2271
model-Wed May 20 20:40:38 2020, 1589987454.086, 0.58, 0.2382, 0.64, 0.2255
model-Wed May 20 20:40:38 2020, 1589987454.15, 0.57, 0.2434, 0.58, 0.2383
model-Wed May 20 20:40:38 2020, 1589987454.214, 0.65, 0.2283, 0.63, 0.2405
model-Wed May 20 20:40:38 2020, 1589987454.26, 0.63, 0.2172, 0.62, 0.2275
model-Wed May 20 20:40:38 2020, 1589987454.341, 0.66, 0.2322, 0.63, 0.2291
model-Wed May 20 20:40:38 2020, 1589987454.41, 0.67, 0.2278, 0.66, 0.23
model-Wed May 20 20:40:38 2020, 1589987454.474, 0.59, 0.2352, 0.64, 0.2349
model-Wed May 20 20:40:38 2020, 1589987454.552, 0.58, 0.2414, 0.61, 0.2213
model-Wed May 20 20:40:38 2020, 1589987454.627, 0.63, 0.2237, 0.65, 0.2289
model-Wed May 20 20:40:38 2020, 1589987454.69, 0.57, 0.2343, 0.63, 0.2344
model-Wed May 20 20:40:38 2020, 1589987454.755, 0.72, 0.2143, 0.62, 0.227
model-Wed May 20 20:40:38 2020, 1589987454.818, 0.64, 0.2232, 0.62, 0.229
model-Wed May 20 20:40:38 2020, 1589987454.883, 0.6, 0.2342, 0.62, 0.2278
model-Wed May 20 20:40:38 2020, 1589987454.947, 0.63, 0.238, 0.57, 0.2628
model-Wed May 20 20:40:38 2020, 1589987455.022, 0.6, 0.2333, 0.68, 0.2096
model-Wed May 20 20:40:38 2020, 1589987455.086, 0.59, 0.2353, 0.57, 0.2228
model-Wed May 20 20:40:38 2020, 1589987455.15, 0.69, 0.2163, 0.62, 0.2304
model-Wed May 20 20:40:38 2020, 1589987455.213, 0.6, 0.2325, 0.69, 0.2048
model-Wed May 20 20:40:38 2020, 1589987455.278, 0.67, 0.1993, 0.62, 0.2278
model-Wed May 20 20:40:38 2020, 1589987455.342, 0.68, 0.219, 0.5, 0.2636
model-Wed May 20 20:40:38 2020, 1589987455.406, 0.58, 0.2356, 0.65, 0.2168
model-Wed May 20 20:40:38 2020, 1589987455.47, 0.7, 0.2124, 0.64, 0.2283
model-Wed May 20 20:40:38 2020, 1589987455.535, 0.55, 0.2399, 0.59, 0.2295
model-Wed May 20 20:40:38 2020, 1589987455.599, 0.63, 0.2206, 0.64, 0.2292
model-Wed May 20 20:40:38 2020, 1589987455.665, 0.64, 0.2131, 0.61, 0.2272
model-Wed May 20 20:40:38 2020, 1589987455.728, 0.68, 0.2068, 0.63, 0.2397
model-Wed May 20 20:40:38 2020, 1589987455.793, 0.58, 0.2297, 0.6, 0.2319
model-Wed May 20 20:40:38 2020, 1589987455.856, 0.52, 0.2488, 0.61, 0.2326
model-Wed May 20 20:40:38 2020, 1589987455.921, 0.68, 0.2142, 0.64, 0.2154
model-Wed May 20 20:40:38 2020, 1589987455.984, 0.6, 0.2193, 0.65, 0.2222
model-Wed May 20 20:40:38 2020, 1589987456.052, 0.57, 0.266, 0.57, 0.2321
model-Wed May 20 20:40:38 2020, 1589987456.115, 0.54, 0.2543, 0.56, 0.2428
model-Wed May 20 20:40:38 2020, 1589987456.179, 0.67, 0.2141, 0.67, 0.2185
model-Wed May 20 20:40:38 2020, 1589987456.243, 0.64, 0.2238, 0.61, 0.2331
model-Wed May 20 20:40:38 2020, 1589987456.307, 0.61, 0.2229, 0.65, 0.2325
model-Wed May 20 20:40:38 2020, 1589987456.369, 0.68, 0.2158, 0.63, 0.2275
model-Wed May 20 20:40:38 2020, 1589987456.434, 0.65, 0.2263, 0.55, 0.2458
model-Wed May 20 20:40:38 2020, 1589987456.5, 0.63, 0.233, 0.66, 0.2238
model-Wed May 20 20:40:38 2020, 1589987456.566, 0.66, 0.2182, 0.64, 0.2233
model-Wed May 20 20:40:38 2020, 1589987456.629, 0.56, 0.241, 0.67, 0.2019
model-Wed May 20 20:40:38 2020, 1589987456.693, 0.6, 0.2366, 0.59, 0.233
model-Wed May 20 20:40:38 2020, 1589987456.756, 0.55, 0.2385, 0.61, 0.2202
model-Wed May 20 20:40:38 2020, 1589987456.831, 0.65, 0.2274, 0.56, 0.2455
model-Wed May 20 20:40:38 2020, 1589987456.894, 0.63, 0.22, 0.65, 0.2213
model-Wed May 20 20:40:38 2020, 1589987456.958, 0.66, 0.2268, 0.61, 0.2315
model-Wed May 20 20:40:38 2020, 1589987457.026, 0.61, 0.2281, 0.67, 0.2142
model-Wed May 20 20:40:38 2020, 1589987457.099, 0.6, 0.233, 0.66, 0.2303
model-Wed May 20 20:40:38 2020, 1589987457.163, 0.62, 0.2316, 0.65, 0.223
model-Wed May 20 20:40:38 2020, 1589987457.236, 0.55, 0.241, 0.59, 0.231
model-Wed May 20 20:40:38 2020, 1589987457.3, 0.61, 0.2386, 0.61, 0.2176
model-Wed May 20 20:40:38 2020, 1589987457.364, 0.61, 0.2291, 0.73, 0.2014
model-Wed May 20 20:40:38 2020, 1589987457.426, 0.7, 0.2097, 0.61, 0.2425
model-Wed May 20 20:40:38 2020, 1589987457.49, 0.61, 0.2338, 0.64, 0.2219
model-Wed May 20 20:40:38 2020, 1589987457.554, 0.64, 0.2251, 0.68, 0.2259
model-Wed May 20 20:40:38 2020, 1589987457.618, 0.61, 0.2414, 0.62, 0.2226
model-Wed May 20 20:40:38 2020, 1589987457.681, 0.58, 0.231, 0.61, 0.2212
model-Wed May 20 20:40:38 2020, 1589987457.755, 0.6, 0.2312, 0.58, 0.2357
model-Wed May 20 20:40:38 2020, 1589987457.817, 0.58, 0.2265, 0.66, 0.2233
model-Wed May 20 20:40:38 2020, 1589987457.881, 0.75, 0.2076, 0.59, 0.2291
model-Wed May 20 20:40:38 2020, 1589987457.944, 0.62, 0.2282, 0.59, 0.2321
model-Wed May 20 20:40:38 2020, 1589987458.019, 0.64, 0.2106, 0.63, 0.2218
model-Wed May 20 20:40:38 2020, 1589987458.082, 0.59, 0.2342, 0.58, 0.235
model-Wed May 20 20:40:38 2020, 1589987458.156, 0.7, 0.2068, 0.55, 0.2498
model-Wed May 20 20:40:38 2020, 1589987458.219, 0.58, 0.2467, 0.63, 0.2179
model-Wed May 20 20:40:38 2020, 1589987458.283, 0.62, 0.2237, 0.62, 0.2264
model-Wed May 20 20:40:38 2020, 1589987458.346, 0.58, 0.2385, 0.6, 0.2421
model-Wed May 20 20:40:38 2020, 1589987458.41, 0.74, 0.1807, 0.7, 0.2053
model-Wed May 20 20:40:38 2020, 1589987458.473, 0.6, 0.2388, 0.58, 0.2359
model-Wed May 20 20:40:38 2020, 1589987458.536, 0.57, 0.2334, 0.66, 0.2192
model-Wed May 20 20:40:38 2020, 1589987458.598, 0.62, 0.2194, 0.68, 0.2198
